ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory
34,81,15,2024-03-30,5,"Excellent  product,  highly  recommend!",0.7773,Positive
35,27,12,2024-03-13,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
36,96,9,2025-12-05,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
37,38,3,2023-09-11,3,"Average  experience,  nothing    special.",-0.3089,Mixed Negative
38,45,17,2024-05-07,5,"Great  purchase,  very  satisfied.",0.8016,Positive
39,54,1,2023-10-02,5,Customer  support  was  very  helpful.,0.6997,Positive
40,33,2,2025-01-03,5,Five  stars    for  the  quick  delivery.,0.0,Postive
41,93,17,2025-05-15,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
42,72,15,2023-03-21,5,Five  stars  for  the  quick  delivery.,0.0,Postive
43,84,15,2025-02-02,4,Exceeded  my    expectations!,0.0,Postive
44,44,17,2023-04-20,5,"Excellent  product,    highly  recommend!",0.7773,Positive
45,11,16,2023-03-23,3,Not  worth  the  money.,-0.1695,Mixed Negative
46,27,5,2025-05-07,4,Five  stars  for  the  quick  delivery.,0.0,Postive
47,19,13,2024-06-01,4,Five  stars  for  the  quick  delivery.,0.0,Postive
48,70,17,2023-10-08,4,Shipping  was  fast  and  the  item    was  well-packaged.,0.0,Postive
49,3,7,2025-06-09,3,"Good  quality,  but  could    be  cheaper.",0.2382,Mixed Positive
50,62,4,2023-01-07,1,The  product  stopped  working  after  a  month.,-0.2263,Negative
51,49,17,2023-04-14,4,Five  stars  for  the  quick  delivery.,0.0,Postive
52,75,11,2024-04-07,4,"I  love  this  product,  will  buy  again!",0.6696,Positive
53,73,18,2025-12-28,4,Five  stars  for    the  quick  delivery.,0.0,Postive
54,33,8,2023-05-03,5,"Excellent  product,  highly  recommend!",0.7773,Positive
55,57,9,2025-11-03,3,Customer  support  was    very  helpful.,0.6997,Mixed Positive
56,15,10,2025-12-11,3,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Neutral
57,41,10,2024-04-06,2,Disappointed  with  the  performance.,-0.4767,Negative
58,78,7,2024-07-16,2,"The  product    is  okay,  but  the  instructions  were  unclear.",-0.2617,Negative
59,98,9,2024-09-01,4,The  build  quality  is  impressive.,0.5106,Positive
60,11,16,2023-12-27,4,"Great  purchase,  very  satisfied.",0.8016,Positive
61,50,19,2023-02-24,4,"Great  purchase,    very  satisfied.",0.8016,Positive
62,35,17,2023-03-18,2,"Average  experience,  nothing  special.",-0.3089,Negative
63,93,2,2025-01-05,4,Five  stars  for  the  quick  delivery.,0.0,Postive
64,86,11,2025-10-30,4,Customer  support  was  very  helpful.,0.6997,Positive
65,34,3,2024-06-15,1,Not  worth  the  money.,-0.1695,Negative
66,94,16,2023-06-17,4,"I  love  this  product,  will  buy    again!",0.6696,Positive
67,67,13,2025-04-12,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
68,38,7,2023-03-23,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
69,77,12,2025-08-03,3,Five  stars  for  the  quick  delivery.,0.0,Neutral
70,93,5,2024-01-30,4,Shipping  was  fast    and  the  item  was  well-packaged.,0.0,Postive
71,24,11,2025-07-28,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
72,29,4,2023-05-29,5,The    build  quality  is  impressive.,0.5106,Positive
73,68,19,2025-05-05,5,"I  love  this  product,  will  buy  again!",0.6696,Positive
74,59,9,2023-05-16,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
75,22,3,2024-01-13,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Postive
76,9,10,2025-08-31,4,"Great  purchase,  very  satisfied.",0.8016,Positive
77,74,5,2023-03-15,4,"Great  purchase,    very  satisfied.",0.8016,Positive
78,6,10,2024-12-09,5,Five  stars  for  the  quick  delivery.,0.0,Postive
79,84,15,2024-05-28,2,The  product  arrived    late.,0.0,Negative
80,98,16,2025-05-24,3,Not  worth  the  money.,-0.1695,Mixed Negative
81,3,19,2024-09-04,4,Five  stars  for  the  quick  delivery.,0.0,Postive
82,78,13,2023-05-02,4,Shipping    was  fast  and  the  item  was  well-packaged.,0.0,Postive
83,32,11,2025-05-26,4,The  quality  is    top-notch.,0.0,Postive
84,40,20,2023-07-17,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive
85,17,6,2025-10-25,5,Five  stars  for  the  quick  delivery.,0.0,Postive
86,78,3,2025-10-06,5,"Excellent  product,  highly  recommend!",0.7773,Positive
87,89,17,2023-05-26,3,Not    worth  the  money.,-0.1695,Mixed Negative
88,93,19,2025-08-26,4,Exceeded  my  expectations!,0.0,Postive
89,60,3,2024-07-08,3,The  quality  is  top-notch.,0.0,Neutral
90,47,17,2025-11-12,4,Five  stars  for  the  quick  delivery.,0.0,Postive
91,4,16,2025-09-27,3,"Great  purchase,  very  satisfied.",0.8016,Mixed Positive
92,2,16,2023-11-21,3,Not  worth  the  money.,-0.1695,Mixed Negative
93,60,13,2024-09-05,3,Not  worth  the  money.,-0.1695,Mixed Negative
94,2,16,2025-03-14,4,The  quality  is  top-notch.,0.0,Postive
95,16,16,2024-04-07,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Postive
96,19,13,2023-09-02,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
97,64,6,2024-01-19,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
98,96,3,2025-11-20,5,Exceeded  my  expectations!,0.0,Postive
99,79,16,2025-01-29,2,"Average  experience,  nothing  special.",-0.3089,Negative
100,9,2,2025-06-20,3,Not  worth  the  money.,-0.1695,Mixed Negative
101,61,18,2024-09-11,5,The  build  quality  is  impressive.,0.5106,Positive
102,4,2,2025-08-22,5,"Excellent  product,  highly  recommend!",0.7773,Positive
103,82,14,2024-11-17,5,The  quality  is  top-notch.,0.0,Postive
104,96,5,2023-01-06,4,"I  love    this  product,  will  buy  again!",0.6696,Positive
105,32,12,2024-08-27,2,The  product    arrived  late.,0.0,Negative
106,94,17,2024-02-25,2,"Average  experience,  nothing  special.",-0.3089,Negative
107,26,10,2025-02-17,5,Five  stars  for    the  quick  delivery.,0.0,Postive
108,80,17,2023-12-22,5,Five  stars  for  the    quick  delivery.,0.0,Postive
109,38,10,2023-07-25,4,Customer  support  was  very  helpful.,0.6997,Positive
110,54,12,2024-08-02,4,Customer    support  was  very  helpful.,0.6997,Positive
111,43,7,2023-11-05,4,Five  stars  for  the  quick  delivery.,0.0,Postive
112,87,3,2023-05-26,5,"Excellent  product,  highly  recommend!",0.7773,Positive
113,27,9,2024-03-31,2,Disappointed  with  the  performance.,-0.4767,Negative
114,52,19,2025-05-04,2,"Average  experience,  nothing  special.",-0.3089,Negative
115,82,9,2023-09-28,4,Five  stars  for  the  quick  delivery.,0.0,Postive
116,70,18,2023-07-23,4,The  quality  is  top-notch.,0.0,Postive
117,20,14,2025-04-19,4,Customer  support  was  very  helpful.,0.6997,Positive
118,59,6,2024-05-01,1,The  product  arrived  late.,0.0,Negative
119,34,5,2025-09-06,4,"Great  purchase,  very    satisfied.",0.8016,Positive
120,3,20,2024-08-18,4,The  quality  is  top-notch.,0.0,Postive
121,91,1,2025-11-02,2,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Negative
122,83,14,2024-09-27,2,Not  worth  the  money.,-0.1695,Negative
123,93,1,2025-09-22,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive
124,36,16,2023-07-17,5,Customer  support  was  very  helpful.,0.6997,Positive
125,55,11,2025-12-20,5,"I  love  this  product,  will  buy  again!",0.6696,Positive
126,32,10,2024-08-12,5,Exceeded  my  expectations!,0.0,Postive
127,47,8,2025-03-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive
128,71,20,2023-12-13,2,"Average  experience,  nothing  special.",-0.3089,Negative
129,46,13,2025-02-14,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive
130,88,3,2025-09-22,5,"Great    purchase,  very  satisfied.",0.8016,Positive
131,42,5,2023-06-16,5,Amazing  value  for  the  price.,0.7351,Positive
132,21,7,2025-11-13,2,Product  did  not  meet  my  expectations.,0.0,Negative
133,40,4,2025-05-24,4,The  quality  is  top-notch.,0.0,Postive
134,74,4,2024-03-27,3,"Good  quality,  but  could    be  cheaper.",0.2382,Mixed Positive
135,48,14,2023-06-08,4,"I  love  this  product,  will  buy  again!",0.6696,Positive
136,17,3,2025-03-27,5,Amazing  value  for    the  price.,0.7351,Positive
137,88,6,2023-03-02,4,"Good  quality,  but  could    be  cheaper.",0.2382,Positive
138,28,15,2023-01-18,5,Five  stars  for  the  quick  delivery.,0.0,Postive
139,36,16,2023-04-20,4,Customer  support  was  very  helpful.,0.6997,Positive
140,53,18,2023-12-03,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
141,98,9,2024-10-15,5,Amazing  value  for  the    price.,0.7351,Positive
142,15,7,2023-08-04,5,"Excellent  product,  highly  recommend!",0.7773,Positive
143,3,12,2023-04-12,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
144,27,15,2025-08-16,4,The  build  quality  is  impressive.,0.5106,Positive
145,27,10,2024-03-05,3,"The    product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
146,5,13,2025-01-09,4,"I  love  this  product,  will  buy  again!",0.6696,Positive
147,100,20,2025-01-25,2,"Average  experience,  nothing  special.",-0.3089,Negative
148,17,18,2024-11-05,1,"Average  experience,  nothing  special.",-0.3089,Negative
149,50,3,2023-12-20,4,The  quality  is  top-notch.,0.0,Postive
150,4,15,2024-06-18,5,"I  love  this  product,  will  buy    again!",0.6696,Positive
151,21,19,2023-10-30,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
152,32,16,2025-12-15,3,"Good  quality,  but    could  be  cheaper.",0.2382,Mixed Positive
153,95,11,2023-11-06,5,Amazing  value  for  the  price.,0.7351,Positive
154,3,12,2023-12-19,4,The  quality  is  top-notch.,0.0,Postive
155,89,3,2025-12-10,4,Customer  support  was  very  helpful.,0.6997,Positive
156,5,7,2025-01-26,5,The  build  quality  is  impressive.,0.5106,Positive
157,10,17,2025-10-14,2,The  product  arrived  late.,0.0,Negative
158,37,2,2024-04-16,5,"Great  purchase,  very  satisfied.",0.8016,Positive
159,23,12,2023-09-01,5,"I  love  this  product,    will  buy  again!",0.6696,Positive
160,71,9,2024-01-02,2,Not  worth  the  money.,-0.1695,Negative
161,9,18,2025-08-05,2,The  product  arrived    late.,0.0,Negative
162,64,20,2023-07-25,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
163,89,7,2023-05-27,5,The  quality  is  top-notch.,0.0,Postive
164,25,19,2024-03-16,2,Product  did  not    meet  my  expectations.,0.0,Negative
165,97,3,2025-06-03,4,The  quality  is  top-notch.,0.0,Postive
166,87,3,2023-11-01,3,"Good    quality,  but  could  be  cheaper.",0.2382,Mixed Positive
167,28,16,2023-08-02,2,Product  did  not  meet    my  expectations.,0.0,Negative
168,72,2,2025-12-13,3,Customer  support  was  very  helpful.,0.6997,Mixed Positive
169,26,8,2025-09-28,5,Five  stars  for  the  quick    delivery.,0.0,Postive
170,53,13,2024-06-23,5,The  build  quality  is  impressive.,0.5106,Positive
171,2,16,2024-02-16,3,Not  worth  the  money.,-0.1695,Mixed Negative
172,79,2,2024-11-23,3,Not  worth  the  money.,-0.1695,Mixed Negative
173,15,16,2025-05-30,5,Customer  support  was  very  helpful.,0.6997,Positive
174,91,8,2024-06-23,4,"I  love  this  product,  will  buy  again!",0.6696,Positive
175,3,6,2024-11-02,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
176,21,11,2023-11-23,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
177,93,19,2025-07-03,4,"I  love  this  product,  will  buy  again!",0.6696,Positive
178,17,20,2025-05-25,4,The  quality  is    top-notch.,0.0,Postive
179,46,20,2025-11-26,4,"Great  purchase,  very  satisfied.",0.8016,Positive
180,77,5,2023-03-08,4,"Great  purchase,    very  satisfied.",0.8016,Positive
181,4,3,2024-08-09,4,The  build  quality  is  impressive.,0.5106,Positive
182,21,11,2024-03-08,5,"Excellent  product,  highly  recommend!",0.7773,Positive
183,13,5,2025-06-08,4,"Great  purchase,  very  satisfied.",0.8016,Positive
184,59,5,2024-12-29,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Postive
185,8,6,2023-11-13,2,Product  did  not  meet  my  expectations.,0.0,Negative
186,22,13,2023-02-17,4,The  quality  is  top-notch.,0.0,Postive
187,58,18,2025-05-01,4,The  quality  is  top-notch.,0.0,Postive
188,70,5,2025-09-19,5,Exceeded  my  expectations!,0.0,Postive
189,83,7,2025-03-13,2,The  product    arrived  late.,0.0,Negative
190,83,3,2023-08-10,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
191,68,3,2024-09-05,4,"Great  purchase,    very  satisfied.",0.8016,Positive
192,42,17,2023-08-04,5,"Excellent  product,  highly  recommend!",0.7773,Positive
193,84,20,2024-06-21,3,"The  product  is  okay,  but  the  instructions  were    unclear.",-0.2617,Mixed Negative
194,7,7,2025-05-19,1,The  product  arrived  late.,0.0,Negative
195,75,5,2023-10-25,5,Amazing  value  for  the  price.,0.7351,Positive
196,91,2,2023-10-29,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
197,51,15,2024-11-27,4,"I  love  this  product,    will  buy  again!",0.6696,Positive
198,57,8,2023-08-27,5,Five  stars  for  the  quick  delivery.,0.0,Postive
199,6,13,2024-08-20,5,The    quality  is  top-notch.,0.0,Postive
200,30,17,2025-01-09,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
201,59,6,2023-05-23,2,Not  worth  the  money.,-0.1695,Negative
202,33,9,2023-09-06,5,Amazing  value  for  the  price.,0.7351,Positive
203,66,18,2023-11-22,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
204,95,14,2024-11-29,4,"Great  purchase,  very    satisfied.",0.8016,Positive
205,88,12,2023-04-06,5,Amazing  value  for  the  price.,0.7351,Positive
206,72,14,2023-08-22,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Postive
207,95,18,2025-06-07,4,"I  love  this  product,  will  buy  again!",0.6696,Positive
208,94,8,2023-03-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive
209,70,8,2025-11-05,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
210,28,1,2023-12-10,2,The  product  arrived  late.,0.0,Negative
211,84,12,2025-03-07,4,Five  stars  for  the  quick  delivery.,0.0,Postive
212,87,10,2023-01-03,1,"Terrible  customer  service,  would  not  buy  again.",-0.4767,Negative
213,7,13,2024-04-09,5,Shipping  was  fast  and    the  item  was  well-packaged.,0.0,Postive
214,53,18,2025-04-13,3,Five  stars  for  the  quick  delivery.,0.0,Neutral
215,55,10,2024-01-07,2,Product  did  not  meet  my  expectations.,0.0,Negative
216,49,7,2023-11-14,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
217,62,11,2023-08-19,5,Amazing  value    for  the  price.,0.7351,Positive
218,35,8,2024-09-14,4,The  quality  is  top-notch.,0.0,Postive
219,90,9,2023-02-18,4,Five  stars  for  the  quick  delivery.,0.0,Postive
220,78,9,2025-08-12,2,Disappointed  with  the  performance.,-0.4767,Negative
221,26,2,2024-10-21,4,The  build  quality  is  impressive.,0.5106,Positive
222,54,14,2024-02-28,5,Customer  support  was  very  helpful.,0.6997,Positive
223,37,16,2023-07-31,5,Exceeded  my  expectations!,0.0,Postive
224,68,15,2023-03-27,4,"Great  purchase,    very  satisfied.",0.8016,Positive
225,80,1,2025-09-08,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
226,60,9,2023-08-23,2,The  product  arrived  late.,0.0,Negative
227,74,11,2024-08-10,4,"Good    quality,  but  could  be  cheaper.",0.2382,Positive
228,20,19,2025-10-23,2,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Negative
229,69,12,2023-02-07,4,The    quality  is  top-notch.,0.0,Postive
230,54,11,2023-10-19,2,The  product  arrived  late.,0.0,Negative
231,15,16,2025-04-15,5,Five  stars  for  the  quick  delivery.,0.0,Postive
232,17,3,2025-10-11,5,Five  stars  for  the  quick  delivery.,0.0,Postive
233,81,4,2024-11-14,2,The  product  arrived  late.,0.0,Negative
234,80,9,2023-03-06,5,The  build  quality  is  impressive.,0.5106,Positive
235,54,3,2024-03-18,4,Customer  support  was  very  helpful.,0.6997,Positive
236,55,16,2025-03-03,5,"Great  purchase,  very  satisfied.",0.8016,Positive
237,44,2,2025-09-29,4,The  quality  is  top-notch.,0.0,Postive
238,47,9,2023-04-18,4,"Great  purchase,  very  satisfied.",0.8016,Positive
239,45,9,2024-01-28,5,Exceeded  my  expectations!,0.0,Postive
240,20,16,2024-11-09,5,Five  stars  for  the  quick  delivery.,0.0,Postive
241,61,15,2024-04-22,4,Five  stars  for  the  quick  delivery.,0.0,Postive
242,20,20,2025-06-07,4,The  quality  is  top-notch.,0.0,Postive
243,24,11,2023-02-17,1,I  had  a  bad  experience  with  this  product.,-0.5423,Negative
244,36,4,2023-08-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive
245,50,3,2023-03-23,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
246,71,12,2023-07-23,4,The    quality  is  top-notch.,0.0,Postive
247,28,6,2025-11-24,5,"Excellent  product,  highly    recommend!",0.7773,Positive
248,81,6,2023-07-15,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
249,75,2,2023-01-04,1,"Not    satisfied,  the  product  broke  after  a  week.",-0.6288,Negative
250,22,11,2023-09-21,1,The  product  stopped  working  after  a  month.,-0.2263,Negative
251,16,2,2024-02-01,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive
252,6,6,2025-03-18,5,The  build  quality  is    impressive.,0.5106,Positive
253,75,15,2024-08-03,3,"Great  purchase,  very  satisfied.",0.8016,Mixed Positive
254,30,19,2025-12-31,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
255,13,16,2024-01-23,5,"I  love  this  product,  will  buy  again!",0.6696,Positive
256,91,3,2024-02-11,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive
257,84,13,2023-10-03,3,"Average  experience,  nothing    special.",-0.3089,Mixed Negative
258,34,7,2025-05-13,4,"Great    purchase,  very  satisfied.",0.8016,Positive
259,75,2,2023-08-24,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
260,44,18,2024-03-07,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
261,29,12,2024-10-15,4,Customer  support  was  very  helpful.,0.6997,Positive
262,45,7,2024-07-07,5,Five  stars  for    the  quick  delivery.,0.0,Postive
263,47,8,2024-10-21,4,Customer  support  was  very  helpful.,0.6997,Positive
264,96,18,2025-08-19,4,Shipping  was  fast  and  the    item  was  well-packaged.,0.0,Postive
265,22,19,2024-05-14,4,"I  love  this  product,  will  buy  again!",0.6696,Positive
266,62,5,2025-02-22,5,"Excellent  product,    highly  recommend!",0.7773,Positive
267,55,19,2023-12-01,3,"The  product  is    okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
268,98,17,2023-10-28,5,The  build  quality    is  impressive.,0.5106,Positive
269,75,4,2023-11-18,4,The  quality  is  top-notch.,0.0,Postive
270,46,6,2023-09-25,1,The  color  was  different  from  what  was  shown.,0.0,Negative
271,21,17,2025-08-08,5,The    build  quality  is  impressive.,0.5106,Positive
272,39,17,2023-03-26,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Postive
273,10,2,2024-10-09,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Postive
274,93,11,2023-04-07,5,"I  love  this  product,  will  buy  again!",0.6696,Positive
275,45,12,2023-04-03,4,Five  stars  for  the  quick  delivery.,0.0,Postive
276,86,1,2025-01-29,5,The  quality  is  top-notch.,0.0,Postive
277,22,6,2025-03-21,4,The  quality  is  top-notch.,0.0,Postive
278,80,20,2023-03-01,5,Amazing  value  for  the  price.,0.7351,Positive
279,86,5,2023-07-21,5,Customer  support  was  very  helpful.,0.6997,Positive
280,68,19,2023-11-09,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive
281,71,5,2025-11-19,4,"I  love  this  product,  will  buy  again!",0.6696,Positive
282,59,5,2023-02-17,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
283,87,13,2023-02-14,5,"I  love  this  product,  will  buy  again!",0.6696,Positive
284,89,13,2023-09-01,4,"Great  purchase,  very  satisfied.",0.8016,Positive
285,29,3,2023-08-25,4,"Good  quality,  but  could    be  cheaper.",0.2382,Positive
286,53,16,2023-05-04,5,"I  love  this  product,  will  buy  again!",0.6696,Positive
287,75,6,2025-02-14,5,"I  love  this  product,  will    buy  again!",0.6696,Positive
288,68,17,2024-06-21,5,"Excellent  product,  highly  recommend!",0.7773,Positive
289,87,15,2023-10-04,5,Customer  support  was    very  helpful.,0.6997,Positive
290,20,14,2024-09-23,2,"Average  experience,  nothing  special.",-0.3089,Negative
291,17,7,2025-12-06,5,"I  love  this  product,  will  buy  again!",0.6696,Positive
292,15,7,2025-10-19,5,Customer  support  was  very  helpful.,0.6997,Positive
293,25,13,2023-02-14,3,Not  worth    the  money.,-0.1695,Mixed Negative
294,63,13,2023-11-09,3,Not  worth  the  money.,-0.1695,Mixed Negative
295,61,6,2024-10-13,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
296,85,18,2023-12-13,4,The    quality  is  top-notch.,0.0,Postive
297,92,16,2023-08-06,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
298,41,15,2025-06-13,4,Five  stars  for  the  quick  delivery.,0.0,Postive
299,93,13,2024-02-01,1,Product  did  not  meet  my  expectations.,0.0,Negative
300,22,18,2023-05-09,2,Disappointed  with  the  performance.,-0.4767,Negative
301,6,7,2023-05-30,4,"I  love  this  product,  will  buy  again!",0.6696,Positive
302,64,19,2024-10-08,5,The  quality  is  top-notch.,0.0,Postive
303,20,10,2024-04-25,4,"Great  purchase,  very  satisfied.",0.8016,Positive
304,66,14,2023-02-01,3,"Average    experience,  nothing  special.",-0.3089,Mixed Negative
305,87,7,2023-08-25,4,Customer  support  was  very  helpful.,0.6997,Positive
306,52,8,2025-07-19,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative
307,63,16,2025-01-08,5,Exceeded  my  expectations!,0.0,Postive
308,90,14,2023-04-02,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Postive
309,70,11,2023-02-02,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive
310,40,1,2024-11-30,5,Exceeded  my  expectations!,0.0,Postive
311,52,11,2023-11-14,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Postive
312,90,3,2023-11-05,2,The  product  arrived  late.,0.0,Negative
313,13,3,2024-01-14,4,"I    love  this  product,  will  buy  again!",0.6696,Positive
314,22,17,2025-10-06,2,Product  did  not  meet  my  expectations.,0.0,Negative
315,32,7,2025-06-13,4,The  quality  is  top-notch.,0.0,Postive
316,48,4,2025-08-15,5,Five  stars  for  the  quick    delivery.,0.0,Postive
317,15,6,2023-08-04,3,"The  product  is  okay,  but  the  instructions  were  unclear.",-0.2617,Mixed Negative
318,97,4,2023-12-15,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive
319,86,6,2024-12-11,5,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Postive
320,79,17,2023-02-24,4,The  quality  is  top-notch.,0.0,Postive
321,58,12,2024-04-17,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive
322,76,13,2024-12-01,4,"Great    purchase,  very  satisfied.",0.8016,Positive
323,47,4,2023-04-24,4,Shipping  was    fast  and  the  item  was  well-packaged.,0.0,Postive
324,89,5,2024-07-08,4,Shipping  was  fast  and  the  item    was  well-packaged.,0.0,Postive
325,78,6,2023-04-17,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive
326,17,14,2024-06-15,4,The  quality  is  top-notch.,0.0,Postive
327,95,8,2023-08-25,4,The  quality  is  top-notch.,0.0,Postive
328,100,13,2024-02-20,2,Not  worth  the  money.,-0.1695,Negative
329,6,9,2024-12-07,3,The  quality  is  top-notch.,0.0,Neutral
330,22,14,2023-03-18,4,The  quality  is  top-notch.,0.0,Postive
331,68,4,2023-08-17,5,"I  love  this  product,  will  buy  again!",0.6696,Positive
332,2,10,2024-11-06,5,The  build  quality  is  impressive.,0.5106,Positive
333,87,5,2024-06-02,4,"I  love  this  product,  will  buy  again!",0.6696,Positive
334,70,9,2025-04-14,5,Five  stars  for  the  quick    delivery.,0.0,Postive
335,75,14,2024-03-12,5,"Great  purchase,  very  satisfied.",0.8016,Positive
